Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,label,TriggerWord,Label
22,1594143559048,07/07/2020 17:39:19,1594143558985,-4,07/07/2020 13:39:18,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,1184.4540000000015,null,,The,1,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
23,1594143559298,07/07/2020 17:39:19,1594143559232,-4,07/07/2020 13:39:19,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,250.4409999999989,null,,technicians,2,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
24,1594143559517,07/07/2020 17:39:19,1594143559434,-4,07/07/2020 13:39:19,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,200.35900000000038,null,,meets,3,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
25,1594143559767,07/07/2020 17:39:19,1594143559694,-4,07/07/2020 13:39:19,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,266.9539999999997,null,,with,4,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
26,1594143561329,07/07/2020 17:39:21,1594143561251,-4,07/07/2020 13:39:21,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,1551.7119999999995,null,,their,5,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
27,1594143561767,07/07/2020 17:39:21,1594143561698,-4,07/07/2020 13:39:21,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,450.46200000000135,null,,clients,6,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
28,1594143562189,07/07/2020 17:39:22,1594143562102,-4,07/07/2020 13:39:22,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,400.17599999999766,null,,to,7,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
29,1594143562570,07/07/2020 17:39:22,1594143562488,-4,07/07/2020 13:39:22,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,383.9880000000012,null,,discuss,8,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
30,1594143562945,07/07/2020 17:39:22,1594143562875,-4,07/07/2020 13:39:22,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,383.7489999999998,null,,the,9,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
31,1594143563273,07/07/2020 17:39:23,1594143563204,-4,07/07/2020 13:39:23,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,204,2,2,ReadingPres,Zone1,reading,333.60599999999977,null,,repair,10,0,1,0,,,false,8,8,Trial,The|technicians|meets|with|their|clients|to|discuss|the|repair|projects.,C.SVA.U.25,3,
